選區編號,選區,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,61-65,66-70,71+,新增登記選民,2015 推算人口
Q01,西貢市中心,65,32,31,26,28,20,21,22,22,16,16,14,24,337,11755
M13,屏山北,64,28,26,30,24,27,29,21,22,19,19,19,9,337,12799
D12,置富,72,37,24,23,25,26,23,28,16,15,15,18,13,335,16062
G06,何文田,80,24,31,20,17,36,32,25,18,12,12,14,13,334,20651
J15,秀茂坪中,134,34,26,14,20,23,14,16,8,14,14,6,10,333,15256
J16,興田,88,38,44,22,24,25,15,17,16,13,13,4,14,333,17218
H01,龍趣,98,37,19,26,19,23,28,30,11,10,10,4,17,332,15872
G24,愛俊,73,35,22,14,32,25,14,16,14,26,26,15,20,332,13524
J31,康樂,69,36,36,26,23,28,25,22,14,8,8,16,18,329,16707
S03,上大窩口,66,27,24,22,27,31,33,18,9,18,18,9,27,329,12957
J03,啓業,64,23,38,27,25,23,18,21,10,19,19,18,24,329,16399
L08,山景,89,48,42,38,25,14,13,14,14,10,10,3,6,326,17898
L22,良景,72,51,67,35,13,12,15,12,7,13,13,9,7,326,14416
H06,龍星,102,39,33,20,31,26,18,24,13,5,5,3,6,325,20111
J32,定安,67,35,36,27,20,23,22,23,28,13,13,6,12,325,16465
M31,錦綉花園,72,43,27,20,23,19,31,32,19,12,12,10,4,324,16460
H13,翠竹及鵬程,75,39,43,25,26,21,16,20,15,9,9,8,17,323,18266
G04,樂民,54,32,32,18,20,33,23,18,18,20,20,17,18,323,16110
A06,堅摩,52,23,25,34,43,26,25,11,13,19,19,12,21,323,16920
H22,彩雲南,76,28,37,23,19,22,21,25,15,14,14,10,18,322,12773
J13,曉麗,115,46,26,24,20,23,18,19,4,7,7,6,5,320,18457
F15,美孚北,59,29,15,35,38,28,26,21,12,20,20,10,7,320,16929
L25,建生,89,49,54,28,21,14,10,15,13,10,10,5,1,319,16393
C16,炮台山,62,29,27,17,28,18,36,23,15,21,21,10,12,319,15917
S24,長康,58,33,35,36,11,22,10,16,26,24,24,12,12,319,15560
L09,景興,61,37,23,25,26,21,23,14,22,23,23,10,8,316,15315
H12,天強,103,38,25,25,19,22,17,13,18,12,12,6,5,315,14528
J02,九龍灣,93,24,24,33,38,25,28,18,11,5,5,3,6,313,13952
K18,象石,81,41,32,14,32,28,25,19,11,5,5,9,11,313,12962
G14,海心,56,33,25,28,30,28,29,24,13,12,12,12,10,312,15823
C17,城市花園,76,34,25,23,33,31,19,17,14,7,7,10,15,311,15679
C19,堡壘,67,18,32,27,25,23,26,18,24,14,14,9,14,311,15583
A12,上環,57,33,34,27,27,18,19,23,17,13,13,8,22,311,17550
L16,兆禧,73,35,31,36,25,22,23,26,12,7,7,5,8,310,13096
G16,土瓜灣南,49,23,33,25,25,26,31,22,14,17,17,12,14,308,15454
G23,愛民,74,18,18,19,26,28,32,23,12,20,20,8,9,307,14736
S01,葵興,86,34,24,27,27,24,19,19,19,7,7,5,8,306,17975
J05,坪石,71,40,27,17,16,25,24,30,20,12,12,6,6,306,13362
R13,顯嘉,53,40,67,49,22,16,12,6,14,8,8,6,5,306,13242
M26,慈祐,75,50,32,25,23,14,17,25,17,6,6,9,6,305,14265
F14,美孚中,51,18,32,17,38,33,18,22,20,18,18,5,9,299,14675
E02,佐敦南,48,20,28,24,28,43,26,26,20,7,7,7,15,299,18327
C12,環翠,69,44,36,22,23,9,20,13,15,11,11,8,16,297,14542
E14,旺角東,53,20,26,34,18,32,29,24,16,10,10,13,12,297,15742
C21,丹拿,45,40,24,28,38,24,32,20,9,7,7,8,15,297,15345
S17,荔景,75,37,28,20,20,20,20,10,12,16,16,7,15,296,14095
H15,竹園北,73,34,35,25,25,24,18,21,10,6,6,10,9,296,16098
E18,尖沙咀中,41,9,14,53,45,30,18,12,17,17,17,15,8,296,16871
D17,赤柱及石澳,62,27,20,12,17,42,36,19,23,10,10,6,11,295,22008
